                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1053,                  2.018,                 1.5549,                0.75641,                0.65213,                0.72277,                0.48137,                 1.1123,                 2.0969,                 1.8922,             0.00055271,             0.00055271,             0.00055271
                      2,                 1.1527,                 1.6268,                 1.5784,                0.47352,                0.62632,                0.50655,                0.28921,                 1.2959,                 2.4687,                  2.115,              0.0010864,              0.0010864,              0.0010864
                      3,                 1.1789,                 1.4928,                 1.5931,                0.69086,                0.45088,                0.57966,                0.34165,                 1.5837,                 1.7243,                 2.3357,              0.0015981,              0.0015981,              0.0015981
                      4,                  1.184,                 1.4088,                  1.594,                0.81141,                0.61973,                0.70025,                 0.4245,                 1.3838,                 1.7352,                 2.2543,               0.001568,               0.001568,               0.001568
                      5,                 1.1535,                 1.3326,                 1.5706,                0.68126,                0.56491,                 0.6752,                0.44427,                 1.2447,                 1.3505,                 2.0577,               0.001568,               0.001568,               0.001568
                      6,                 1.1294,                  1.267,                 1.5436,                0.64152,                0.70567,                0.74567,                0.48266,                  1.288,                 1.3222,                 2.0376,               0.001535,               0.001535,               0.001535
                      7,                 1.0889,                 1.2076,                   1.52,                0.86104,                 0.6853,                0.84212,                0.58326,                 1.2355,                 1.0149,                 1.9607,               0.001502,               0.001502,               0.001502
                      8,                 1.0618,                 1.1466,                 1.5014,                0.81951,                0.73147,                0.82374,                0.56873,                 1.1541,                 1.0476,                 1.9074,               0.001469,               0.001469,               0.001469
                      9,                 1.0553,                 1.1136,                 1.4923,                0.79553,                0.71397,                0.83279,                0.58204,                 1.1318,                 1.0447,                 1.8244,               0.001436,               0.001436,               0.001436
                     10,                 1.0263,                 1.0875,                 1.4598,                0.79691,                0.71856,                0.83628,                0.60819,                 1.0836,                 1.0826,                 1.7956,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.0001,                 1.0626,                 1.4481,                0.78039,                0.73995,                0.82834,                0.58966,                 1.1611,                0.99928,                 1.8939,              0.0013699,              0.0013699,              0.0013699
                     12,                  0.997,                 1.0298,                 1.4533,                0.83337,                0.74155,                0.84688,                0.61391,                 1.1384,                 1.0411,                 1.8715,              0.0013369,              0.0013369,              0.0013369
                     13,                0.97454,                 1.0227,                 1.4269,                0.86167,                0.68596,                0.85089,                0.60221,                 1.0597,                 0.9877,                 1.7518,              0.0013039,              0.0013039,              0.0013039
                     14,                0.95527,                0.99372,                  1.424,                0.77361,                0.71228,                0.81992,                0.60001,                 1.0273,                 1.0067,                 1.7139,              0.0012709,              0.0012709,              0.0012709
                     15,                0.95515,                0.99131,                 1.4186,                0.88789,                0.73158,                0.87775,                0.66299,                0.95924,                0.84713,                 1.6681,              0.0012379,              0.0012379,              0.0012379
                     16,                0.94405,                0.92345,                 1.3988,                0.87807,                0.76884,                0.88241,                0.65259,                 1.0089,                0.80388,                 1.7353,              0.0012049,              0.0012049,              0.0012049
                     17,                0.94737,                0.94862,                 1.4086,                0.89701,                0.69348,                0.82044,                0.61972,                 1.0487,                0.91884,                 1.7906,              0.0011719,              0.0011719,              0.0011719
                     18,                0.93813,                0.92496,                 1.3933,                0.85643,                0.74211,                0.87488,                 0.6416,                0.95288,                0.87597,                 1.6832,              0.0011389,              0.0011389,              0.0011389
                     19,                0.92339,                0.90699,                   1.38,                 0.7196,                0.78772,                0.85469,                0.63321,                0.99706,                0.86584,                 1.6814,              0.0011059,              0.0011059,              0.0011059
                     20,                0.90204,                0.88212,                 1.3796,                0.81079,                0.74904,                0.84758,                0.63736,                0.93626,                 0.8888,                 1.6305,              0.0010729,              0.0010729,              0.0010729
                     21,                 0.8956,                0.86883,                 1.3709,                0.87105,                0.74495,                0.88001,                0.66347,                0.95468,                0.80313,                 1.6561,              0.0010399,              0.0010399,              0.0010399
                     22,                0.88553,                0.87078,                 1.3566,                0.89625,                 0.6753,                0.85854,                0.63533,                0.99847,                0.87328,                 1.6916,              0.0010069,              0.0010069,              0.0010069
                     23,                0.89225,                 0.8293,                 1.3532,                0.86877,                0.76223,                0.86672,                0.65458,                0.95924,                0.82869,                 1.6539,             0.00097386,             0.00097386,             0.00097386
                     24,                0.85737,                0.80686,                  1.332,                0.86072,                0.73763,                0.87504,                0.67086,                0.94416,                0.80251,                 1.6564,             0.00094085,             0.00094085,             0.00094085
                     25,                0.87979,                0.83668,                 1.3503,                0.89662,                0.74254,                0.86959,                0.66953,                0.90373,                 0.8015,                 1.5824,             0.00090785,             0.00090785,             0.00090785
                     26,                0.86509,                0.80158,                 1.3356,                0.79092,                0.78896,                0.88223,                0.67939,                0.90661,                0.78174,                 1.5807,             0.00087484,             0.00087484,             0.00087484
                     27,                 0.8505,                0.79486,                 1.3347,                0.82485,                0.78188,                0.87057,                0.64502,                 1.0647,                0.82793,                 1.7163,             0.00084184,             0.00084184,             0.00084184
                     28,                0.85804,                0.79448,                 1.3266,                0.92101,                0.72402,                0.88706,                0.66766,                 0.9338,                0.76168,                 1.6181,             0.00080883,             0.00080883,             0.00080883
                     29,                0.83296,                0.78335,                 1.3177,                0.76741,                0.81313,                0.87526,                0.66113,                0.97515,                0.79701,                 1.6632,             0.00077582,             0.00077582,             0.00077582
                     30,                0.82135,                0.74572,                 1.3119,                0.81039,                0.82456,                0.88203,                 0.6774,                0.88179,                0.78511,                 1.5438,             0.00074282,             0.00074282,             0.00074282
                     31,                0.82729,                0.74155,                 1.3074,                0.87019,                0.76715,                0.89328,                0.67888,                0.94694,                0.79592,                 1.6379,             0.00070981,             0.00070981,             0.00070981
                     32,                0.80978,                0.74414,                 1.2976,                0.86801,                0.76667,                0.88915,                0.68174,                0.92056,                0.75457,                 1.5983,              0.0006768,              0.0006768,              0.0006768
                     33,                0.80888,                0.73341,                 1.2955,                0.87037,                0.77018,                0.88804,                0.67125,                0.92876,                0.73112,                 1.5589,              0.0006438,              0.0006438,              0.0006438
                     34,                0.79394,                0.72075,                 1.2891,                0.87857,                0.77193,                 0.8971,                0.69893,                0.88568,                0.69467,                  1.551,             0.00061079,             0.00061079,             0.00061079
                     35,                0.80312,                0.70611,                 1.2895,                 0.8599,                0.75866,                0.88881,                0.68083,                0.92209,                0.70906,                 1.5977,             0.00057778,             0.00057778,             0.00057778
                     36,                0.76779,                0.68802,                 1.2662,                0.83213,                0.79045,                0.89597,                0.68669,                0.95472,                0.71262,                 1.6175,             0.00054478,             0.00054478,             0.00054478
                     37,                 0.7776,                0.70795,                 1.2749,                0.88402,                0.74932,                0.89138,                0.70121,                0.87454,                0.73347,                  1.533,             0.00051177,             0.00051177,             0.00051177
                     38,                0.76696,                0.67026,                 1.2714,                0.89649,                0.74386,                0.89683,                0.68858,                0.94683,                0.72785,                 1.6194,             0.00047876,             0.00047876,             0.00047876
                     39,                 0.7706,                0.67664,                 1.2598,                0.83451,                0.77544,                0.89264,                 0.7048,                 0.8865,                0.71048,                 1.5353,             0.00044576,             0.00044576,             0.00044576
                     40,                0.75434,                0.65081,                 1.2568,                 0.8247,                0.78403,                0.88656,                0.69883,                0.88682,                0.74329,                 1.5317,             0.00041275,             0.00041275,             0.00041275
                     41,                0.64233,                0.50561,                 1.3121,                0.87054,                0.75891,                0.88206,                0.67729,                0.87356,                0.75628,                 1.5382,             0.00037974,             0.00037974,             0.00037974
                     42,                0.62746,                 0.4622,                 1.2788,                0.75256,                0.85642,                 0.9017,                0.69987,                0.88001,                0.71103,                 1.5394,             0.00034674,             0.00034674,             0.00034674
                     43,                0.61104,                 0.4538,                 1.2681,                0.81749,                0.81704,                0.89366,                0.70315,                0.82882,                0.70393,                 1.4805,             0.00031373,             0.00031373,             0.00031373
                     44,                0.59282,                0.42718,                 1.2481,                0.89808,                0.72632,                0.88895,                0.69606,                0.86276,                0.75145,                 1.5359,             0.00028072,             0.00028072,             0.00028072
                     45,                0.56472,                0.40575,                 1.2178,                0.89544,                 0.7559,                0.87917,                0.68452,                0.86969,                 0.7764,                   1.55,             0.00024772,             0.00024772,             0.00024772
                     46,                0.56654,                0.39056,                 1.2305,                0.85446,                0.78596,                0.88514,                0.69243,                0.85245,                0.72269,                 1.5394,             0.00021471,             0.00021471,             0.00021471
                     47,                0.56142,                0.38452,                 1.2092,                0.86893,                0.75252,                0.88212,                0.68611,                0.85887,                0.78331,                 1.5387,              0.0001817,              0.0001817,              0.0001817
                     48,                0.54839,                0.37395,                 1.2133,                0.84237,                0.77118,                0.88692,                 0.6961,                0.84666,                0.74946,                 1.5216,              0.0001487,              0.0001487,              0.0001487
                     49,                0.54344,                 0.3634,                 1.1914,                0.80116,                0.78237,                0.88496,                0.70569,                0.83837,                0.77483,                 1.5144,             0.00011569,             0.00011569,             0.00011569
                     50,                0.52246,                0.34699,                 1.1752,                 0.9183,                0.72948,                0.89358,                 0.7017,                0.84636,                0.75625,                 1.5416,             8.2683e-05,             8.2683e-05,             8.2683e-05
